file_path,file_name,format,sources,metadata,status,date_saved
raw/public/reproduction,search1rismed,csv,author-original,data/metadata/RISmed.pdf,provided,4/11/2020
raw/public/reproduction,search2rismed,csv,author-original,data/metadata/RISmed.pdf,provided,4/11/2020
raw/public/reproduction,search3rismed,csv,author-original,data/metadata/RISmed.pdf,provided,4/11/2020
raw/public/reproduction,search4rismed,csv,author-original,data/metadata/RISmed.pdf,provided,4/11/2020
raw/public/reproduction,search5rismed,csv,author-original,data/metadata/RISmed.pdf,provided,4/11/2020
raw/public/reproduction,search1pubmedr,csv,author-original,data/metadata/pubmedR.pdf,provided,4/11/2020
raw/public/reproduction,search2pubmedr,csv,author-original,data/metadata/pubmedR.pdf,provided,4/11/2020
raw/public/reproduction,search3pubmedr,csv,author-original,data/metadata/pubmedR.pdf,provided,4/11/2020
raw/public/reproduction,search4pubmedr,csv,author-original,data/metadata/pubmedR.pdf,provided,4/11/2020
raw/public/reproduction,search5pubmedr,csv,author-original,data/metadata/pubmedR.pdf,provided,4/11/2020
raw/public/reproduction,scopus20411,bib,author-original,data/metadata/scopus.pdf,provided,4/11/2020
raw/public/reproduction,article_list,json,author-original,data/metadata/preprint.pdf,provided,4/11/2020

raw/public/replication,search1rismed,csv,PubMed,data/metadata/RISmed.pdf,acquired,12/10/2021
raw/public/replication,search2rismed,csv,PubMed,data/metadata/RISmed.pdf,acquired,12/10/2021
raw/public/replication,search3rismed,csv,PubMed,data/metadata/RISmed.pdf,acquired,12/10/2021
raw/public/replication,search4rismed,csv,PubMed,data/metadata/RISmed.pdf,acquired,12/10/2021
raw/public/replication,search5rismed,csv,PubMed,data/metadata/RISmed.pdf,acquired,12/10/2021
raw/public/replication,search1pubmedr,csv,PubMed,data/metadata/pubmedR.pdf,acquired,12/10/2021
raw/public/replication,search2pubmedr,csv,PubMed,data/metadata/pubmedR.pdf,acquired,12/10/2021
raw/public/replication,search3pubmedr,csv,PubMed,data/metadata/pubmedR.pdf,acquired,12/10/2021
raw/public/replication,search4pubmedr,csv,PubMed,data/metadata/pubmedR.pdf,acquired,12/10/2021
raw/public/replication,search5pubmedr,csv,PubMed,data/metadata/pubmedR.pdf,acquired,12/10/2021
raw/public/replication,scopus,bib,scopus,data/metadata/scopus.pdf,acquired,12/11/2021
raw/public/replication,article_list,json,biorxiv,data/metadata/preprint.pdf,acquired,12/11/2021
raw/public/replication,authorlist,json,biorxiv,data/metadata/preprint.pdf,acquired,12/11/2021
